facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
RESIDENTIAL CARE ELDERLY,075601490,MAUREEN HOUSE,OUR FAMILIES FOR SENIOR INC.,JOSE MICHAEL TORIO,(925) 818-6536,590 MAUREEN LANE,PLEASANT HILL,CA,94523,CONTRA COSTA,15,6,LICENSED,10/2/2009,,05252025
RESIDENTIAL CARE ELDERLY,306003680,MAX MAXIM SENIOR CARE,"MAX MAXIM, INC.",MARIANA MAXIM,(714) 213-3045,10448 NIGHTINGALE AVENUE,FOUNTAIN VALLEY,CA,92708,ORANGE,22,6,CLOSED,5/30/2007,9/26/2022,05252025
RESIDENTIAL CARE ELDERLY,197609744,MAYA'S ELDERLY CARE,MAYA'S ELDERLY CARE,"DAVTYAN, NARINA",(818) 805-7755,16631 OSBORNE ST,NORTH HILLS,CA,91343,LOS ANGELES,31,6,CLOSED,1/22/2019,4/15/2021,05252025
RESIDENTIAL CARE ELDERLY,197610602,MAYALL ASSISTED LIVING,"MAYALL ASSISTED LIVING, INC.","DISHOYAN, ARMINE",(818) 809-8559,20507 MAYALL STREET,CHATSWORTH,CA,91311,LOS ANGELES,31,6,LICENSED,7/3/2024,,05252025
RESIDENTIAL CARE ELDERLY,435200608,MAYFLOWER CARE HOME,"ESLAVA, ISABEL M.","ESLAVA, ISABEL M.",(408) 972-1999,668 APACHE COURT,SAN JOSE,CA,95123,SANTA CLARA,26,6,LICENSED,10/7/1998,,05252025
RESIDENTIAL CARE ELDERLY,336400004,MAYFLOWER GUEST HOME II,"FAJARDO, ATANACIO & MARIA LUISA",CRISTINA FAJARDO,(951) 351-9074,11287 NORWOOD AVE.,RIVERSIDE,CA,92505,RIVERSIDE,56,15,LICENSED,3/9/1994,,05252025
RESIDENTIAL CARE ELDERLY,374604619,MAYFLOWER HOME CARE LLC,MAYFLOWER HOME CARE LLC,"AMBAL, EUNICE P.",(619) 230-5328,7404 SKYLINE DRIVE,SAN DIEGO,CA,92114,SAN DIEGO,08,6,LICENSED,4/26/2023,,05252025
RESIDENTIAL CARE ELDERLY,547209028,MAYKIT HOME L.L.C.,MAYKIT HOME L.L.C.,"MITCHELL, JENNIFER MAY",(559) 837-3913,1976 ACADEMY AVE,TULARE,CA,93274,TULARE,24,6,CLOSED,2/21/2020,8/21/2020,05252025
RESIDENTIAL CARE ELDERLY,075601127,"MAYON BOARD AND CARE, INC.","MAYON BOARD AND CARE, INC.","PANELO, ARTHUR H.",(925) 825-5593,1804 CONCORD COURT,CONCORD,CA,94521,CONTRA COSTA,15,6,LICENSED,4/28/2005,,05252025
RESIDENTIAL CARE ELDERLY,336413086,MC BOARD & CARE,"AGUILAR, MARIA C",MARIA AGUILAR,(951) 813-2143,24259 BRILLANTE DRIVE,WILDOMAR,CA,92595,RIVERSIDE,56,6,LICENSED,10/31/2007,,05252025
RESIDENTIAL CARE ELDERLY,306006348,MC COTTAGE,RYYANN.INC,"CONSTANTINO, RAUL",(949) 481-9064,24962 WILKES PLACE,LAGUNA HILLS,CA,92653,ORANGE,22,6,LICENSED,7/21/2023,,05252025
RESIDENTIAL CARE ELDERLY,490108000,MC HUGH CARE HOME,"AQUINO, ANGELITA","DIZON, TIFFANY",(707) 545-8213,1000 GORDON LANE,SANTA ROSA,CA,95404,SONOMA,21,15,LICENSED,6/15/1987,,05252025
RESIDENTIAL CARE ELDERLY,207202556,MCALISTER'S RCFE,"MC ALISTER, DUANE","MC ALISTER, DUANE",(559) 645-1861,11976 RD 36 1/2,MADERA,CA,93638,MADERA,24,6,LICENSED,10/10/2002,,05252025
RESIDENTIAL CARE ELDERLY,415600511,MCCAFFREY'S CARE HOME,"MCCAFFREY, WALTER & MARIA C","MCCARFFREY, WALTER & MARIA",(650) 872-0363,2381 OLYMPIC DRIVE,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,14,6,LICENSED,7/16/2004,,05252025
RESIDENTIAL CARE ELDERLY,565801912,MCFADDEN ASSISTED LIVING,"CHARTER OAK HOME CARE, INC.",OPHELIA MCFADDEN,(805) 419-6617,1531 DWIGHT AVENUE,CAMARILLO,CA,93010,VENTURA,29,6,LICENSED,6/2/2014,,05252025
RESIDENTIAL CARE ELDERLY,347004707,MCGREGOR HOME-ASHEVILLE,"ARANA, LUISITO & HEIDI",MARIE CARRASCO,(916) 844-7930,4604 ASHEVILLE COURT,CARMICHAEL,CA,95608,SACRAMENTO,59,6,CLOSED,1/31/2011,3/16/2023,05252025
RESIDENTIAL CARE ELDERLY,347005340,MCGREGOR HOME 5,MARIA SO & HEIDI ARANA,LIZA SEGUBAN,(916) 900-4829,3906 APPLE BLOSSOM WAY,CARMICHAEL,CA,95608,SACRAMENTO,59,6,CLOSED,1/28/2014,3/14/2024,05252025
RESIDENTIAL CARE ELDERLY,347005860,MCGREGOR HOME GARFIELD,"ARANA, LUISITO M. & HEIDI REMEDIOS S.","PAZ, MARIE",(916) 692-5886,3136 GARFIELD AVENUE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,9/22/2015,,05252025
RESIDENTIAL CARE ELDERLY,435294083,MCLAMBOJON 2 - RCFE,"LAMBOJON, CYNTHIA CAJUCOM","LAMBOJON, CYNTHIA CAJUCOM",(408) 229-2680,5359 BIRCH GROVE DR.,SAN JOSE,CA,95123,SANTA CLARA,26,6,CLOSED,4/12/2005,6/22/2020,05252025
RESIDENTIAL CARE ELDERLY,197602537,MCLENNAN M. MANOR,LMG EXCELLENT CARE INC.,"MORENO, LALAINE P.",(818) 892-8882,8844 MCLENNAN AVE.,NORTHRIDGE,CA,91343,LOS ANGELES,31,6,LICENSED,11/4/1999,,05252025
RESIDENTIAL CARE ELDERLY,197607866,MCLENNAN M. MANOR II,"MCLENNAN M. MANOR, INC.",LALAINE P. MORENO,(818) 830-5857,8839 MCLENNAN AVENUE,NORTHRIDGE,CA,91343,LOS ANGELES,31,5,CLOSED,1/21/2010,1/9/2025,05252025
RESIDENTIAL CARE ELDERLY,197610165,MCNULTY VILLA,"MCNULTY VILLA, INC.","WOOD, CHERIE",(818) 395-6037,20724 MCNULTY PL.,CANOGA PARK,CA,91306,LOS ANGELES,31,6,LICENSED,4/14/2021,,05252025
RESIDENTIAL CARE ELDERLY,331881435,MD PREMIER 2 CARE HOME,MD PREMIER 2 LLC,"DOLHA, MIRCEA",(949) 335-2364,45385 MESA COVE,INDIAN WELLS,CA,92210,RIVERSIDE,18,6,LICENSED,6/14/2023,,05252025
RESIDENTIAL CARE ELDERLY,331880999,MD PREMIER CARE HOME,MD PREMIER LLC,"DOLHA, MIRCEA",(949) 335-2364,45911 PASEO CORONADO,INDIAN WELLS,CA,92210,RIVERSIDE,18,6,LICENSED,10/14/2020,,05252025
RESIDENTIAL CARE ELDERLY,331880691,MDPR & ASSOCIATES- MOUNTAIN SENIOR CARE HOME,MDPR & ASSOCIATESINC,"DIAZ, MARLEN",(951) 737-8027,2005 MOUNTAIN AVE,NORCO,CA,92860,RIVERSIDE,56,6,LICENSED,8/27/2019,,05252025
RESIDENTIAL CARE ELDERLY,216804183,MEADOW CREEK SENIOR LIVING,MEADOW CREEK SENIOR LIVING LLC,"MUELRATH, KELLY",(707) 799-1557,40 MEADOW WAY,SAN GERONIMO,CA,94963,MARIN,21,6,LICENSED,1/4/2024,,05252025
RESIDENTIAL CARE ELDERLY,374602643,MEADOW CREEK VILLA,"AMERICARE HEALTH ENTERPRISES, INC.","KARPAL, VINOD",(619) 277-8868,11443 MEADOW CREEK ROAD,EL CAJON,CA,92020,SAN DIEGO,08,6,LICENSED,4/14/2008,,05252025
RESIDENTIAL CARE ELDERLY,397004544,MEADOW CREEK VILLA,MELVIN SERBAN,MELVIN SERBAN,(209) 982-4262,4930 MOORCROFT CIRCLE,STOCKTON,CA,95206,SAN JOAQUIN,27,6,CLOSED,9/22/2010,4/7/2025,05252025
RESIDENTIAL CARE ELDERLY,317005900,MEADOW OAKS OF ROSEVILLE,ROSEVILLE SH LLC; INTEGRAL SENIOR LIVING MGMT LLC,NATHAN CONDIE,(916) 774-0200,930 OAK RIDGE RD,ROSEVILLE,CA,95661,PLACER,59,108,LICENSED,2/29/2016,,05252025
RESIDENTIAL CARE ELDERLY,157208851,MEADOW SPRINGS,"MISSION SPRINGS, INC.","HOUCK, HELEN",(661) 742-1171,6013 FRIANT DRIVE,BAKERSFIELD,CA,93309,KERN,24,4,LICENSED,5/11/2018,,05252025
RESIDENTIAL CARE ELDERLY,197610313,MEADOW TREE ASSISTED LIVING INC.,MEADOW TREE ASSISTED LIVING INC.,"HULL, DYLAN",(310) 666-2392,9511 W. CONOVER STREET,SYLMAR,CA,91342,LOS ANGELES,31,78,CLOSED,,8/28/2023,05252025
RESIDENTIAL CARE ELDERLY,552701651,MEADOW VIEW MANOR,MVM SENIOR LIVING LLC,"CHEN, ANGELA",(209) 533-0935,19227 SOUTH COURT,SONORA,CA,95370,TUOLUMNE,27,20,CLOSED,,5/13/2025,05252025
RESIDENTIAL CARE ELDERLY,365530144,MEADOW VIEW SENIOR CARE,MEADOW VIEW SENIOR CARE LLC,"MANALO, MELANY",(562) 229-8551,1585 W. MCWETHY ST.,RIALTO,CA,92376,SAN BERNARDINO,56,6,LICENSED,11/15/2023,,05252025
RESIDENTIAL CARE ELDERLY,331881058,"MEADOWBROOK ASSISTED LIVING, LLC","MEADOWBROOK ASSISTED LIVING, LLC","SHALABI, JAMAL",(951) 658-8875,461 E JOHNSTON AVE,HEMET,CA,92543,RIVERSIDE,18,49,CLOSED,3/4/2021,1/14/2025,05252025
RESIDENTIAL CARE ELDERLY,197608878,MEADOWBROOK AT AGOURA HILLS,"ARHC MBAGHCA01 TRS; SLH AGOURA HILLS MANAGER, LLC",JOEYVIC ALVARADO,(818) 991-3544,5217 CHESEBRO RD,AGOURA HILLS,CA,91301,LOS ANGELES,29,185,LICENSED,9/3/2015,,05252025
RESIDENTIAL CARE ELDERLY,331881408,MEADOWBROOK PLACE ASSISTED LIVING,MEADOWBROOK PLACE ASSISTED LIVING,"SCOTT, ANDREA",(818) 470-6457,461 E JOHNSTON AVE,HEMET,CA,92543,RIVERSIDE,18,49,CLOSED,,3/14/2024,05252025
RESIDENTIAL CARE ELDERLY,331881631,MEADOWBROOK PLACE ASSISTED LIVING,MEADOWBROOK PLACE ASSISTED LIVING,"SCOTT, ANDREA",(818) 470-6457,461 E JOHNSTON AVENUE,HEMET,CA,92543,RIVERSIDE,18,49,LICENSED,12/10/2024,,05252025
RESIDENTIAL CARE ELDERLY,336412146,MEADOWBROOK SENIOR LIVING,"JOHNRE CARE, LLC",JOHANNA LAGANDAON,(951) 658-6374,461 E JOHNSTON AVE,HEMET,CA,92543,RIVERSIDE,18,49,CLOSED,9/25/2006,3/4/2021,05252025
RESIDENTIAL CARE ELDERLY,306002886,MEADOWLARK GARDENS I,"MEADOWLARK GARDENS, INC.",CHRISTINE WILKES,(714) 840-1776,5912 MIDIRON CIRCLE,HUNTINGTON BEACH,CA,92649,ORANGE,22,6,LICENSED,6/27/2005,,05252025
RESIDENTIAL CARE ELDERLY,306002887,MEADOWLARK GARDENS II,"MEADOWLARK GARDENS, INC.",CHRISTINE WILKES,(714) 840-1776,16412 WISHINGWELL LANE,HUNTINGTON BEACH,CA,92647,ORANGE,22,6,LICENSED,6/27/2005,,05252025
RESIDENTIAL CARE ELDERLY,306002888,MEADOWLARK GARDENS III,"MEADOWLARK GARDENS, INC.",CHRISTINE WILKES,(714) 840-1776,6102 CORNELL DRIVE,HUNTINGTON BEACH,CA,92647,ORANGE,22,6,LICENSED,6/27/2005,,05252025
RESIDENTIAL CARE ELDERLY,306002889,MEADOWLARK GARDENS IV,"MEADOWLARK GARDENS, INC.",CHRISTINE WILKES,(714) 840-1776,16351 SARATOGA LANE,HUNTINGTON BEACH,CA,92649,ORANGE,22,6,LICENSED,6/27/2005,,05252025
RESIDENTIAL CARE ELDERLY,306004672,MEADOWLARK GARDENS ON CORNELL,"MEADOWLARK GARDENS, INC.",CHRISTINE WILKES,(714) 248-9021,6112 CORNELL DRIVE,HUNTINGTON BEACH,CA,92647,ORANGE,22,6,LICENSED,7/2/2014,,05252025
RESIDENTIAL CARE ELDERLY,306001145,MEADOWLARK GARDENS V,"MEADOWLARK GARDENS, INC.","WILKES, CHRISTINE M.",(714) 840-1776,17342 ZEIDER LANE,HUNTINGTON BEACH,CA,92647,ORANGE,22,6,LICENSED,5/4/2000,,05252025
RESIDENTIAL CARE ELDERLY,306004331,MEADOWLARK GARDENS VII,"MEADOWLARK GARDENS, INC.",CHRISTINE AND RON WILKES,(714) 840-1776,9401 NAUTILUS DRIVE,HUNTINGTON BEACH,CA,92646,ORANGE,22,6,LICENSED,6/24/2011,,05252025
RESIDENTIAL CARE ELDERLY,347004702,"MEADOWS AT COUNTRY PLACE, THE","MEADOWS AT COUNTRY PLACE, LLC, THE",RANGI GINER,(916) 706-3949,10 COUNTRY PLACE,SACRAMENTO,CA,95831,SACRAMENTO,27,34,LICENSED,5/24/2011,,05252025
RESIDENTIAL CARE ELDERLY,347003508,"MEADOWS GUEST HOME, THE","FAUNDO, GRACE T.",GRACE FAUNDO,(916) 271-2075,10374 JILLSON WAY,ELK GROVE,CA,95757,SACRAMENTO,27,6,CLOSED,3/24/2007,2/22/2021,05252025
RESIDENTIAL CARE ELDERLY,347005529,"MEADOWS SENIOR LIVING, THE","MR CA GP, MEADOWS OPS; MILESTONE RETIREMENT COMMS",ALYSSA SELLERS,(916) 714-3755,9325 E STOCKTON BLVD,ELK GROVE,CA,95624,SACRAMENTO,27,160,CLOSED,2/13/2015,1/24/2024,05252025
RESIDENTIAL CARE ELDERLY,342701306,"MEADOWS SENIOR LIVING, THE",VOP THE MEADOWS LP; MILESTONE RETIREMENT COMMUNITI,"SELLERS, ALYSSA",(916) 877-7835,9325 EAST STOCKTON BLVD.,ELK GROVE,CA,95624,SACRAMENTO,27,160,LICENSED,1/23/2024,,05252025
RESIDENTIAL CARE ELDERLY,157204176,"MEADOWS, THE","GABLES RESIDENTIAL CARE, LLC",CHRISTINA MARSY,(661) 679-3132,10702 FOUR BEARS,BAKERSFIELD,CA,93312,KERN,24,6,LICENSED,7/31/2008,,05252025
RESIDENTIAL CARE ELDERLY,347000718,MEADOWVIEW,"GHITEA, ROLLAND","GHITEA, ROLLAND",(916) 965-3832,8928 BARRHILL WAY,FAIR OAKS,CA,95628,SACRAMENTO,59,6,CLOSED,12/3/1996,1/27/2021,05252025
RESIDENTIAL CARE ELDERLY,331880848,MEADOWVIEW LIVING,MEADOWVIEW LIVING LLC,"ANCA, CLAUDIA",(951) 731-7352,1044 MEADOWVIEW COURT,CORONA,CA,92880,RIVERSIDE,56,4,CLOSED,1/7/2020,5/7/2021,05252025
RESIDENTIAL CARE ELDERLY,557000412,MEADOWVIEW MANOR,"SCHOON, BEA",N/A,(209) 533-0935,19227 SOUTH COURT,SONORA,CA,95370,TUOLUMNE,27,20,ON PROBATION,1/30/1996,,05252025
RESIDENTIAL CARE ELDERLY,486800888,MED RESIDENTIAL CARE HOME II,"VERANO, MATILDE","VERANO, MATILDA",(707) 552-8550,1243 GRANADA ST.,VALLEJO,CA,94590,SOLANO,21,6,LICENSED,2/15/2001,,05252025
RESIDENTIAL CARE ELDERLY,197601800,MEDAL RESIDENTIAL BOARDING & CARE,"MEDALLA, BELLA",BELLA MEDALLA,(818) 503-3980,12952 ELKWOOD STREET,NORTH HOLLYWOOD,CA,91605,LOS ANGELES,29,6,CLOSED,6/10/1998,10/19/2023,05252025
RESIDENTIAL CARE ELDERLY,306006626,MEGAN'S OPEN ARMS,"CHENG & CO., LLC","YU, TSUNG-SHUN",(714) 267-4105,249 S CALLE DA GAMA,ANAHEIM,CA,92807,ORANGE,22,3,LICENSED,4/30/2025,,05252025
RESIDENTIAL CARE ELDERLY,197610043,MEGAN'S PLACE,"MASA COMFORT LIVING, INC.","OSBORN, ANNIE",(818) 853-7654,7708 ETHEL AVENUE,NORTH HOLLYWOOD,CA,91605,LOS ANGELES,29,6,LICENSED,5/21/2020,,05252025
RESIDENTIAL CARE ELDERLY,079200932,MEGAN CARE HOME,BETHEL CARE INC.,"CHAUDHRY, TAYYABA",(925) 433-6000,118 MEGAN CT,ALAMO,CA,94507,CONTRA COSTA,15,6,LICENSED,12/27/2019,,05252025
RESIDENTIAL CARE ELDERLY,331800173,MEGGINSON PLACE II,RJD CALIFORNIA LLC,"RACELIS, JANETTE",(951) 363-8767,11330 LOMBARDY LANE,MORENO VALLEY,CA,92557,RIVERSIDE,18,6,LICENSED,6/28/2017,,05252025
RESIDENTIAL CARE ELDERLY,306001615,MEISON LA PAZ ELDERLY CARE HOME,"PEREZ, MIGUEL & HERMELINDA",MIGUEL PEREZ,(949) 454-6184,24332 TWIG STREET,LAKE FOREST,CA,92630,ORANGE,22,6,LICENSED,10/31/2002,,05252025
RESIDENTIAL CARE ELDERLY,306004323,MEISON LA PAZ I,"PEREZ, JENNIFER",SAKVADOR DIAZ JR,(949) 859-5049,25421 MARINA CIRCLE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,12/29/2011,,05252025
RESIDENTIAL CARE ELDERLY,306003838,MEISON LA PAZ IV ELDERLY CARE HOME,"PEREZ, MIGUEL & HERMELINDA",HERMELINDA/MIGUEL PEREZ,(949) 472-4636,25371 MAXIMUS,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,1/29/2008,,05252025
RESIDENTIAL CARE ELDERLY,347002967,MELINDA'S CARE HOME,"MUNAR, MELINDA, ARTHUR","MUNAR, MELINDA",(916) 761-1150,8216 COTTONBALL WAY,SACRAMENTO,CA,95828,SACRAMENTO,27,6,CLOSED,9/19/2005,7/1/2024,05252025
RESIDENTIAL CARE ELDERLY,567609672,MELOS CARE HOME,"OYASAN, EDWIN",EDWIN PAUL OYASAN,(805) 590-6386,348 W AVENIDA DE LOS ARBOLES,THOUSAND OAKS,CA,91360,VENTURA,29,6,LICENSED,8/19/2019,,05252025
RESIDENTIAL CARE ELDERLY,565850338,MELOS CARE HOME II,"OYASAN, EDWIN","OYASAN, EDWIN PAUL EVAN",(805) 558-9029,362 CAMINO MANZANAS,THOUSAND OAKS,CA,91360,VENTURA,29,6,LICENSED,7/6/2023,,05252025
RESIDENTIAL CARE ELDERLY,374604891,MELROSE 28,MELROSE SENIOR CARE LLC,"SONGCO, ARCELI",(702) 776-0689,14528 GARDEN RD,POWAY,CA,92064,SAN DIEGO,08,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,374604892,MELROSE 30,MELROSE SENIOR CARE LLC,"SONGCO, ARCELI",(702) 776-0689,14530 GARDEN RD,POWAY,CA,92064,SAN DIEGO,08,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,374604893,MELROSE 34,MELROSE SENIOR CARE LLC,"SONGCO, ARCELI",(702) 776-0689,14534 GARDEN RD,POWAY,CA,92064,SAN DIEGO,08,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,374604894,MELROSE 36,MELROSE SENIOR CARE LLC,"SONGCO, ARCELI",(702) 776-0689,14536 GARDEN RD,POWAY,CA,92064,SAN DIEGO,08,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,374604895,MELROSE 48,MELROSE SENIOR CARE LLC,"SONGCO, ARCELI",(702) 776-0689,14548 GARDEN RD,POWAY,CA,92064,SAN DIEGO,08,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,374600808,MELROSE CARE HOME II,"RENA, LILIA P. &FEDERICO D.",LILIA P. RENA,(619) 498-0911,1627 MARL AVENUE,CHULA VISTA,CA,91911,SAN DIEGO,08,6,LICENSED,7/28/1999,,05252025
RESIDENTIAL CARE ELDERLY,197609724,MELROSE CHATEAU,"MELROSE VILLAS, INC.","VERGARA, KANDICE",(310) 413-8717,819 N POINSETTIA PL,LOS ANGELES,CA,90046,LOS ANGELES,31,12,LICENSED,4/17/2019,,05252025
RESIDENTIAL CARE ELDERLY,197610367,MELROSE GARDENS,"DANMAR VILLAS, LLC","VILLEGAS, MARCO",(323) 876-1746,1007-1013 N. MARTEL AVE,LOS ANGELES,CA,90046,LOS ANGELES,31,31,LICENSED,11/7/2023,,05252025
RESIDENTIAL CARE ELDERLY,197610370,MELROSE GARDENS,DANMAR VILLAS LLC,"VILLEGAS, MARCO",(323) 876-1746,960 N. MARTEL AVENUE,LOS ANGELES,CA,90046,LOS ANGELES,31,100,LICENSED,9/28/2023,,05252025
RESIDENTIAL CARE ELDERLY,197609896,"MELROSE GARDENS LA, LLC.","MELROSE GARDENS LA, LLC; DANMAR VILLAS LLC",AYALLA LEVY,(323) 876-1746,1007-1013 N MARTEL AVE,LOS ANGELES,CA,90046,LOS ANGELES,31,31,CLOSED,12/10/2019,11/7/2023,05252025
RESIDENTIAL CARE ELDERLY,197609830,"MELROSE GARDENS LA, LLC.","MELROSE GARDENS LA, LLC;DANMAR VILLAS LLC",MARCO J VILLEGAS,(323) 876-1746,960 N MARTEL AVE,LOS ANGELES,CA,90046,LOS ANGELES,31,100,CLOSED,12/10/2019,9/28/2023,05252025
RESIDENTIAL CARE ELDERLY,370804844,MELROSE MANOR,"CORDERO, OSCAR & ANGELITA","CORDERO, ANGELITA",(619) 427-8457,922 MELROSE AVENUE,CHULA VISTA,CA,91911,SAN DIEGO,08,10,CLOSED,8/3/1992,3/31/2022,05252025
RESIDENTIAL CARE ELDERLY,374602505,MELROSE PLACE,"DOMILOS, NORISA",NORISA DOMILOS,(760) 643-0499,906 STRAWBERRY HILL LANE,VISTA,CA,92084,SAN DIEGO,18,6,LICENSED,4/29/2007,,05252025
RESIDENTIAL CARE ELDERLY,197609076,MELROSE VILLAS,MELROSE VILLAS INC,"VERGARA, KANDICE",(323) 746-7840,823 N POINSETTIA PLACE,LOS ANGELES,CA,90046,LOS ANGELES,31,68,LICENSED,4/26/2018,,05252025
RESIDENTIAL CARE ELDERLY,197601257,MELVIN RESIDENTIAL CARE,"TABAYOYONG, ROSALIE",REY TABAYOYONG,(818) 349-6694,7737 MELVIN AVE.,RESEDA,CA,91335,LOS ANGELES,31,5,LICENSED,4/29/1997,,05252025
RESIDENTIAL CARE ELDERLY,075601363,MEMORY CARE OF CONTRA COSTA,"CARLTON SENIOR LIVING, LLC","DIALA, ERICA",(925) 287-8750,540 PATTERSON BOULEVARD,PLEASANT HILL,CA,94523,CONTRA COSTA,15,75,LICENSED,1/25/2008,,05252025
RESIDENTIAL CARE ELDERLY,306001232,MEMORY LANE ELDERLY CARE,"BORDUZ, FLAVIA & GHEORGHE","BORDUZ, FLAVIA & GHEORGHE",(714) 484-6639,2507 W. KEYS LANE,ANAHEIM,CA,92804,ORANGE,22,6,LICENSED,2/14/2001,,05252025
RESIDENTIAL CARE ELDERLY,507005393,MEMORY LANE MANOR,CONSUELA FARCAS,"FARCAS, CONSUELA",(209) 579-2337,420 CORAL WOOD ROAD,MODESTO,CA,95356,STANISLAUS,27,5,LICENSED,8/28/2014,,05252025
RESIDENTIAL CARE ELDERLY,486801219,MENDOZA CARE HOME III,"MENDOZA, VICTORIA & MENDOZA JOSEPHINE, GPS",JOSEPHINE MENDOZA,(707) 553-2580,241 LEXINGTON DR.,VALLEJO,CA,94591,SOLANO,21,6,LICENSED,11/1/2002,,05252025
RESIDENTIAL CARE ELDERLY,486801249,MENDOZA CARE HOME IV,"MENDOZA, JEANIVIC & MARY JANE","MENDOZA, MARY JANE",(707) 642-4221,808 FOOTHILL DR.,VALLEJO,CA,94591,SOLANO,21,6,LICENSED,5/13/2003,,05252025
RESIDENTIAL CARE ELDERLY,331881715,MENIFEE LUXURY CARE LLC,MENIFEE LUXURY CARE LLC,"PUSATERI, BRYTANY",(951) 663-6321,25485 PALOMAR RD,MENIFEE,CA,92585,RIVERSIDE,18,14,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,331881073,MENIFEE SENIOR LIVING,HSRE PACIFICA MENIFEE VALLEY OPCO LP;MENIFEE MGR,"LETH, RANCE",(951) 679-8811,28333 VALLEY BOULEVARD,SUN CITY,CA,92586,RIVERSIDE,18,220,LICENSED,6/1/2021,,05252025
RESIDENTIAL CARE ELDERLY,347000008,MERAKI OF SACRAMENTO,"STIR, ANISIA & IOAN","SHAW-CAMACHO, SAMANTHA",(916) 348-9316,4941 TYLER STREET,SACRAMENTO,CA,95841,SACRAMENTO,59,12,LICENSED,7/29/1994,,05252025
RESIDENTIAL CARE ELDERLY,385600377,MERCED GIRARD RESIDENTIAL CARE FACILITY,"HAFCO ELDER CARE, INC.","WU, JAMES O.D",(415) 467-8900,129 GIRARD STREET,SAN FRANCISCO,CA,94134,SAN FRANCISCO,14,42,LICENSED,8/28/2009,,05252025
RESIDENTIAL CARE ELDERLY,385600114,MERCED RESIDENTIAL CARE FACILITY,"HAFCO, INC.","JOYCE, LEE",(415) 585-6112,259 BROAD STREET,SAN FRANCISCO,CA,94112,SAN FRANCISCO,14,14,LICENSED,8/1/2000,,05252025
RESIDENTIAL CARE ELDERLY,385600349,MERCED THREE RESIDENTIAL CARE FACILITY,"HAFCO ELDER CARE, INC.","JOYCE, LEE",(415) 285-7660,1420 HAMPSHIRE STREET,SAN FRANCISCO,CA,94110,SAN FRANCISCO,14,33,LICENSED,7/14/2005,,05252025
RESIDENTIAL CARE ELDERLY,385600181,MERCED TWO RESIDENTIAL CARE FACILITY,"HAFCO, INC.",JOYCE LEE,(415) 585-6112,257 BROAD STREET,SAN FRANCISCO,CA,94112,SAN FRANCISCO,14,14,LICENSED,7/17/2003,,05252025
RESIDENTIAL CARE ELDERLY,155801220,MERCIE'S HOME #3,"MERCIE'S HOME, INC.","TAUCHEN, ADAM",(661) 861-9211,5808 CARISSA AVENUE,BAKERSFIELD,CA,93309,KERN,24,4,LICENSED,4/12/2005,,05252025
RESIDENTIAL CARE ELDERLY,157201087,MERCIE'S HOME #5,"PENAREJO, MERCEDES","TAUCHEN, ADAM",(661) 323-0462,812 SESNON STREET,BAKERSFIELD,CA,93309,KERN,24,6,LICENSED,9/15/2000,,05252025
RESIDENTIAL CARE ELDERLY,331880970,"MERCY BOARD AND CARE, INC","MERCY BOARD AND CARE, INC.","MANASRAH, AMEEN",(559) 722-7323,11545 DOVERWOOD DRIVE,RIVERSIDE,CA,92505,RIVERSIDE,56,6,CLOSED,11/13/2020,4/1/2021,05252025
RESIDENTIAL CARE ELDERLY,071440577,MERCY CARE HOME,"BUDUMO, FLORENTINA R.",FLORENTINA BUDOMO,(925) 935-1785,272 EL DIVISADEROAVE.,WALNUT CREEK,CA,94598,CONTRA COSTA,15,6,LICENSED,2/28/1989,,05252025
RESIDENTIAL CARE ELDERLY,079200364,MERCY CARE HOME - NORMANDY LANE,"MERCY CARE HOME RESIDENCE, LLC",NICANOR M. REYES,(925) 478-8881,245 NORMANDY LANE,WALNUT CREEK,CA,94598,CONTRA COSTA,15,6,CLOSED,8/11/2014,8/8/2022,05252025
RESIDENTIAL CARE ELDERLY,336423609,MERCY HOME,NNAMDI AND MERCILLINA AJUNWA,MERCILLINA AJUNWA,(951) 926-0195,32350 HEARTH GLEN CT,WINCHESTER,CA,92596,RIVERSIDE,56,6,LICENSED,7/10/2008,,05252025
RESIDENTIAL CARE ELDERLY,336425646,MERCY HOME 2,MERCILLINA AJUNWA,MERCILLINA AJUNWA,(951) 239-0540,37028 RUNNING SPRING RD,MURRIETA,CA,92563,RIVERSIDE,18,6,CLOSED,7/12/2012,9/9/2022,05252025
